,ticker,time,orderType,investorType,volume,averagePrice,orderCount,prevPriceChange
553,FPT,13:30:32,Sell Down,SHEEP,1000,129800.0,5,0.0
554,FPT,13:30:30,Sell Down,SHEEP,200,129800.0,1,0.0
555,FPT,13:30:27,Sell Down,WOLF,2000,129800.0,1,0.0
556,FPT,13:30:20,Sell Down,SHEEP,200,129800.0,1,0.0
557,FPT,13:30:18,Sell Down,SHEEP,100,129800.0,1,0.0
558,FPT,13:30:11,Sell Down,WOLF,1600,129800.0,1,0.0
559,FPT,13:30:09,Sell Down,SHEEP,200,129800.0,1,0.0
560,FPT,13:30:06,Sell Down,SHEEP,300,129800.0,1,-100.0
561,FPT,13:30:05,Buy Up,SHEEP,800,129900.0,1,0.0
562,FPT,13:30:02,Buy Up,SHEEP,200,129900.0,1,100.0
563,FPT,13:29:55,Sell Down,WOLF,2100,129800.0,2,0.0
564,FPT,13:29:49,Sell Down,SHEEP,300,129800.0,1,0.0
565,FPT,13:29:44,Sell Down,WOLF,2700,129800.0,1,0.0
566,FPT,13:29:25,Sell Down,SHEEP,400,129800.0,4,0.0
567,FPT,13:29:17,Sell Down,WOLF,3000,129800.0,7,-100.0
568,FPT,13:29:12,Buy Up,SHEEP,700,129900.0,1,100.0
569,FPT,13:28:37,Sell Down,SHEEP,200,129800.0,1,0.0
570,FPT,13:28:15,Sell Down,WOLF,3800,129800.0,1,-100.0
571,FPT,13:28:13,Buy Up,SHEEP,200,129900.0,1,0.0
572,FPT,13:28:11,Buy Up,SHEEP,200,129900.0,1,0.0
573,FPT,13:27:51,Buy Up,SHEEP,100,129900.0,1,100.0
574,FPT,13:27:45,Sell Down,WOLF,2000,129800.0,1,-100.0
575,FPT,13:27:18,Buy Up,SHEEP,100,129900.0,1,100.0
576,FPT,13:27:16,Sell Down,SHEEP,100,129800.0,1,-100.0
577,FPT,13:27:13,Buy Up,SHEEP,1000,129900.0,2,100.0
578,FPT,13:27:10,Sell Down,WOLF,5000,129800.0,3,-100.0
579,FPT,13:27:02,Buy Up,SHEEP,300,129900.0,2,100.0
580,FPT,13:26:58,Sell Down,SHEEP,500,129800.0,2,-100.0
581,FPT,13:26:45,Buy Up,SHEEP,100,129900.0,1,100.0
582,FPT,13:26:44,Sell Down,SHEEP,400,129800.0,2,-100.0
583,FPT,13:26:41,Buy Up,SHEEP,100,129900.0,1,0.0
584,FPT,13:26:35,Sell Down,SHEEP,700,129900.0,1,0.0
585,FPT,13:26:21,Sell Down,SHEEP,100,129900.0,1,0.0
586,FPT,13:26:13,Sell Down,SHEEP,100,129900.0,1,0.0
587,FPT,13:26:06,Sell Down,SHEEP,200,129900.0,1,0.0
588,FPT,13:25:59,Buy Up,SHEEP,100,129900.0,1,0.0
589,FPT,13:25:55,Buy Up,SHEEP,200,129900.0,2,0.0
590,FPT,13:25:44,Buy Up,SHEEP,1000,129900.0,2,100.0
591,FPT,13:25:43,Sell Down,WOLF,2000,129800.0,7,-100.0
592,FPT,13:25:32,Buy Up,WOLF,2000,129900.0,7,0.0
593,FPT,13:25:30,Sell Down,WOLF,3200,129900.0,1,0.0
594,FPT,13:25:28,Sell Down,WOLF,4100,129900.0,1,0.0
595,FPT,13:25:26,Sell Down,WOLF,6000,129900.0,1,0.0
596,FPT,13:25:23,Sell Down,WOLF,3300,129900.0,4,0.0
597,FPT,13:25:18,Sell Down,SHEEP,400,129900.0,1,0.0
598,FPT,13:25:07,Sell Down,SHEEP,100,129900.0,1,0.0
599,FPT,13:24:58,Sell Down,WOLF,3500,129900.0,1,0.0
600,FPT,13:24:57,Sell Down,SHEEP,100,129900.0,1,0.0
601,FPT,13:24:53,Sell Down,SHEEP,100,129900.0,1,0.0
602,FPT,13:24:45,Sell Down,WOLF,4100,129900.0,7,0.0
603,FPT,13:24:38,Sell Down,SHEEP,100,129900.0,1,0.0
604,FPT,13:24:28,Sell Down,SHEEP,100,129900.0,1,0.0
605,FPT,13:24:22,Sell Down,WOLF,7000,129900.0,8,0.0
606,FPT,13:23:49,Sell Down,SHEEP,100,129900.0,1,0.0
607,FPT,13:23:09,Sell Down,SHEEP,100,129900.0,1,0.0
608,FPT,13:23:05,Sell Down,SHEEP,100,129900.0,1,0.0
609,FPT,13:23:01,Sell Down,WOLF,5000,129900.0,7,0.0
610,FPT,13:22:37,Sell Down,SHEEP,1000,129900.0,2,-100.0
611,FPT,13:22:27,Buy Up,SHEEP,100,130000.0,1,100.0
612,FPT,13:22:27,Sell Down,SHEEP,1000,129900.0,1,-100.0
613,FPT,13:22:04,Buy Up,SHEEP,100,130000.0,1,0.0
614,FPT,13:21:52,Buy Up,SHEEP,100,130000.0,1,100.0
615,FPT,13:21:49,Sell Down,SHEEP,100,129900.0,1,0.0
616,FPT,13:21:45,Sell Down,WOLF,6100,129900.0,2,-100.0
617,FPT,13:21:40,Buy Up,SHEEP,1000,130000.0,1,100.0
618,FPT,13:21:30,Sell Down,WOLF,5000,129900.0,3,0.0
619,FPT,13:21:09,Sell Down,SHEEP,200,129900.0,1,-100.0
620,FPT,13:21:09,Buy Up,WOLF,5000,130000.0,6,0.0
621,FPT,13:20:51,Buy Up,SHEEP,100,130000.0,1,0.0
622,FPT,13:20:44,Buy Up,SHEEP,100,130000.0,1,0.0
623,FPT,13:20:38,Buy Up,WOLF,2000,130000.0,1,0.0
624,FPT,13:20:25,Buy Up,SHEEP,1000,130000.0,1,100.0
625,FPT,13:20:11,Sell Down,SHEEP,100,129900.0,1,0.0
626,FPT,13:19:27,Sell Down,SHEEP,100,129900.0,1,-100.0
627,FPT,13:19:22,Buy Up,SHEEP,300,130000.0,1,100.0
628,FPT,13:19:07,Sell Down,SHEEP,500,129900.0,1,0.0
629,FPT,13:18:57,Sell Down,SHEEP,300,129900.0,1,-100.0
630,FPT,13:18:50,Buy Up,WOLF,4000,130000.0,1,100.0
631,FPT,13:18:50,Sell Down,SHEEP,800,129900.0,1,0.0
632,FPT,13:18:48,Sell Down,SHEEP,100,129900.0,1,0.0
633,FPT,13:18:37,Sell Down,SHEEP,100,129900.0,1,0.0
634,FPT,13:18:25,Sell Down,SHEEP,1500,129900.0,1,-100.0
635,FPT,13:18:09,Buy Up,SHEEP,500,130000.0,2,100.0
636,FPT,13:17:53,Sell Down,SHEEP,200,129900.0,2,0.0
637,FPT,13:17:42,Sell Down,SHEEP,200,129900.0,1,0.0
638,FPT,13:17:35,Sell Down,SHEEP,100,129900.0,1,0.0
639,FPT,13:17:32,Sell Down,SHARK,18000,129900.0,2,0.0
640,FPT,13:17:08,Sell Down,SHEEP,600,129900.0,1,-100.0
641,FPT,13:17:02,Buy Up,SHEEP,500,130000.0,1,100.0
642,FPT,13:16:48,Sell Down,SHEEP,400,129900.0,1,-100.0
643,FPT,13:16:36,Buy Up,SHEEP,100,130000.0,1,0.0
